"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","AIC","p_adjusted","symbol","UniProt","label"
"LRRC4_Q9HBW1_MS",-0.00991795596930766,-0.0165927236841472,0.0333158517976149,-0.297694803949683,0.766162526055053,0.171791820959328,0.15662317299155,273,-0.075506594209614,0.0556706822709987,40.0553567974534,0.893360292825237,"LRRC4","Q9HBW1","LRRC4"
"LRRC4B_Q9NT99_MS",-0.0323014012841719,-0.0443892042972137,0.0204022854434736,-1.58322465263344,0.114528009922942,0.790436185614686,0.786598020516054,273,-0.0724672096614099,0.00786440709306616,-233.580247461337,0.309485570205653,"LRRC4B","Q9NT99","LRRC4B"
"LRRC4C_Q9HCJ2_MS",-0.0421740229180017,-0.0262330892838988,0.0982570390164148,-0.429221390550515,0.668147167251451,0.114843831448171,0.0964030779366751,240,-0.235730331706075,0.151382285870072,539.323506132445,0.829019733490411,"LRRC4C","Q9HCJ2","LRRC4C"
"LRRN1_Q6UXK5_MS",-0.0112486383104749,-0.0209971235668187,0.0194371199941674,-0.578719394326442,0.563255668813864,0.649062162038532,0.642634729108834,273,-0.0495143335559478,0.027017056934998,-260.622203333293,0.759007638934261,"LRRN1","Q6UXK5","LRRN1"
"LRRTM1_Q86UE6_MS",-0.0296342896849211,-0.0215630578502953,0.0813453855268035,-0.364302037454313,0.715947982967688,0.1677844571154,0.150730859925142,244,-0.189863060671567,0.130594481301725,455.254404359842,0.862546855670595,"LRRTM1","Q86UE6","LRRTM1"
"LRRTM2_O43300_MS",-0.0402516089141553,-0.0636155765331722,0.0208561048494036,-1.92996770992482,0.0546467555462023,0.710350014623916,0.705045069836808,273,-0.0813108477527481,0.000807629924437496,-221.304371447653,0.196108214938854,"LRRTM2","O43300","LRRTM2"
"LRTM2_Q8N967_MS",-0.0776105097642596,-0.0907449813240029,0.0332570415733455,-2.3336564556741,0.0203397811408367,0.596895127435957,0.589512254312073,273,-0.143083368808889,-0.0121376507196306,39.0694866627164,0.098967582713743,"LRTM2","Q8N967","LRTM2"
"LSAMP_Q13449_MS",-0.059997217801712,-0.0756898530370448,0.0190650427456279,-3.14697525739725,0.00183237680413681,0.845781906765249,0.842957399563147,273,-0.0975304076860688,-0.0224640279173553,-271.407341278279,0.0180913690320629,"LSAMP","Q13449","LSAMP"
"LSR_Q86X29_MS",-0.00988392167219315,-0.019513013183268,0.0237615036354697,-0.415963645391491,0.677763402820519,0.413342554765909,0.402597912911805,273,-0.0566629947530778,0.0368951514086915,-148.529970773381,0.833548464419171,"LSR","Q86X29","LSR"
"LTA4H_P09960_MS",0.0177268046814208,0.047237937035523,0.0221812474655167,0.79917978954877,0.424880927632636,0.0685929458341876,0.0515342085784036,273,-0.0259412313205476,0.0613948406833893,-186.931281717305,0.66069148519687,"LTA4H","P09960","LTA4H"
"LTBP1_Q14766_MS",0.0223171248017227,0.0423724985591108,0.0206450936010316,1.08098927682302,0.280655875172861,0.590388597880679,0.582886557548823,273,-0.0183266979605177,0.062960947563963,-226.978679450096,0.530834815556432,"LTBP1","Q14766","LTBP1"
"LTBP2_Q14767_MS",0.0549032268114882,0.105538835894365,0.0232937780108154,2.35699107229392,0.0191300179653889,0.465490552334039,0.455701002010487,273,0.00904496124822408,0.100761492374752,-159.623284229655,0.0951330623143662,"LTBP2","Q14767","LTBP2"
"LTBP3_Q9NS15_MS",0.043645237849789,0.0914249612812853,0.0231917131124409,1.88193246605728,0.0609089067565284,0.370829773229783,0.359306509003222,273,-0.00201209340337008,0.0893025691029481,-162.073610274844,0.211820665421329,"LTBP3","Q9NS15","LTBP3"
"LTBP4_Q8N2S1_MS",0.0434865525102082,0.0983152588564524,0.0178458124564346,2.43679309173331,0.0154573696891478,0.566038495308416,0.558090482401977,273,0.00835365107878684,0.0786194539416295,-308.284194725732,0.0821147408158404,"LTBP4","Q8N2S1","LTBP4"
"LTF_P02788_MS",0.066637886540132,0.0736301676635745,0.0551679641334539,1.20790911150776,0.228127575600247,0.0094196100433556,-0.00872288794119824,273,-0.0419708221305661,0.17524659521083,321.482160863443,0.468286220096247,"LTF","P02788","LTF"
"LUM_P51884_MS",0.0242842693445997,0.0571244895082249,0.0248160638541575,0.978570553626751,0.328661762280925,0.0950491102076115,0.0784139835570162,272,-0.0245717073628274,0.0731402460520269,-124.350766197543,0.578444701614428,"LUM","P51884","LUM"
