source_layer,target_layer,source_node,target_node,class_idx,importance,normalized_importance,source_tuple,target_tuple
0,1,P08754,R-HSA-9009391,0,0.0782351413120826,0.017543747276023827,"(np.str_('P08754'), '0')","('R-HSA-9009391', '1')"
0,1,P08754,R-HSA-9009391,1,0.003739850388123719,0.0008386383530344465,"(np.str_('P08754'), '0')","('R-HSA-9009391', '1')"
0,1,P08754,R-HSA-9658195,0,0.0782351413120826,0.017543747276023827,"(np.str_('P08754'), '0')","('R-HSA-9658195', '1')"
0,1,P08754,R-HSA-9658195,1,0.003739850388123719,0.0008386383530344465,"(np.str_('P08754'), '0')","('R-HSA-9658195', '1')"
0,1,P08754,R-HSA-977443,0,0.0782351413120826,0.017543747276023827,"(np.str_('P08754'), '0')","('R-HSA-977443', '1')"
0,1,P08754,R-HSA-977443,1,0.003739850388123719,0.0008386383530344465,"(np.str_('P08754'), '0')","('R-HSA-977443', '1')"
0,1,P09455,R-HSA-2453864,0,0.06663640838068648,0.018587756041320323,"(np.str_('P09455'), '0')","('R-HSA-2453864', '1')"
0,1,P09455,R-HSA-2453864,1,0.05483271647244692,0.015295199450877574,"(np.str_('P09455'), '0')","('R-HSA-2453864', '1')"
0,1,P09455,R-HSA-2453902,0,0.06663640838068648,0.018587756041320323,"(np.str_('P09455'), '0')","('R-HSA-2453902', '1')"
0,1,P09455,R-HSA-2453902,1,0.05483271647244692,0.015295199450877574,"(np.str_('P09455'), '0')","('R-HSA-2453902', '1')"
0,1,P09455,R-HSA-975634,0,0.06663640838068648,0.018587756041320323,"(np.str_('P09455'), '0')","('R-HSA-975634', '1')"
0,1,P09455,R-HSA-975634,1,0.05483271647244692,0.015295199450877574,"(np.str_('P09455'), '0')","('R-HSA-975634', '1')"
0,1,P09913,R-HSA-909733,0,0.015855585445991985,0.006828628966118413,"(np.str_('P09913'), '0')","('R-HSA-909733', '1')"
0,1,P09913,R-HSA-909733,1,0.03264037553507921,0.0140574445896709,"(np.str_('P09913'), '0')","('R-HSA-909733', '1')"
0,1,P0C024,R-HSA-390918,0,0.04462114449900886,0.015894372367532543,"(np.str_('P0C024'), '0')","('R-HSA-390918', '1')"
0,1,P0C024,R-HSA-390918,1,0.10671812887542331,0.03801376450014594,"(np.str_('P0C024'), '0')","('R-HSA-390918', '1')"
0,1,P0C024,R-HSA-9033241,0,0.04462114449900886,0.015894372367532543,"(np.str_('P0C024'), '0')","('R-HSA-9033241', '1')"
0,1,P0C024,R-HSA-9033241,1,0.10671812887542331,0.03801376450014594,"(np.str_('P0C024'), '0')","('R-HSA-9033241', '1')"
0,1,P11441,R-HSA-9609523,0,0.19877276268716043,0.12541165017892794,"(np.str_('P11441'), '0')","('R-HSA-9609523', '1')"
0,1,P11441,R-HSA-9609523,1,0.37964043508355433,0.23952644615302784,"(np.str_('P11441'), '0')","('R-HSA-9609523', '1')"
0,1,P12532,R-HSA-71288,0,0.0042609800461482685,0.0021304900230741343,"(np.str_('P12532'), '0')","('R-HSA-71288', '1')"
0,1,P12532,R-HSA-71288,1,0.0302435854742399,0.01512179273711995,"(np.str_('P12532'), '0')","('R-HSA-71288', '1')"
0,1,P14649,R-HSA-445355,0,0.016519370444047336,0.010422562323418403,"(np.str_('P14649'), '0')","('R-HSA-445355', '1')"
0,1,P14649,R-HSA-445355,1,0.10679862084679115,0.06738242753263746,"(np.str_('P14649'), '0')","('R-HSA-445355', '1')"
0,1,P15104,R-HSA-210455,0,0.012437682780914772,0.004145894260304924,"(np.str_('P15104'), '0')","('R-HSA-210455', '1')"
0,1,P15104,R-HSA-210455,1,0.010717356705870956,0.0035724522352903187,"(np.str_('P15104'), '0')","('R-HSA-210455', '1')"
0,1,P15104,R-HSA-8964539,0,0.012437682780914772,0.004145894260304924,"(np.str_('P15104'), '0')","('R-HSA-8964539', '1')"
0,1,P15104,R-HSA-8964539,1,0.010717356705870956,0.0035724522352903187,"(np.str_('P15104'), '0')","('R-HSA-8964539', '1')"
0,1,P15882,R-HSA-9012999,0,0.006374536091103577,0.0027453632630311097,"(np.str_('P15882'), '0')","('R-HSA-9012999', '1')"
0,1,P15882,R-HSA-9012999,1,0.0011597588264778142,0.0004994809395827026,"(np.str_('P15882'), '0')","('R-HSA-9012999', '1')"
0,1,P16219,R-HSA-77289,0,8.414677487368093e-05,3.624004337557358e-05,"(np.str_('P16219'), '0')","('R-HSA-77289', '1')"
0,1,P16219,R-HSA-77289,1,0.0005972570613896375,0.0002572246154843183,"(np.str_('P16219'), '0')","('R-HSA-77289', '1')"
0,1,P16949,R-HSA-1251985,0,0.006418091306188263,0.0027641214731499286,"(np.str_('P16949'), '0')","('R-HSA-1251985', '1')"
0,1,P16949,R-HSA-1251985,1,0.001167683171493431,0.0005028937692190145,"(np.str_('P16949'), '0')","('R-HSA-1251985', '1')"
0,1,P17677,R-HSA-373760,0,0.002625990637673462,0.0011309526093661614,"(np.str_('P17677'), '0')","('R-HSA-373760', '1')"
0,1,P17677,R-HSA-373760,1,0.000510593591596667,0.0002199006906031843,"(np.str_('P17677'), '0')","('R-HSA-373760', '1')"
0,1,P31513,R-HSA-217271,0,0.04687081965116354,0.014786097346100419,"(np.str_('P31513'), '0')","('R-HSA-217271', '1')"
0,1,P31513,R-HSA-217271,1,0.035445935976428866,0.011181947825358961,"(np.str_('P31513'), '0')","('R-HSA-217271', '1')"
0,1,P31513,R-HSA-5579019,0,0.04687081965116354,0.014786097346100419,"(np.str_('P31513'), '0')","('R-HSA-5579019', '1')"
0,1,P31513,R-HSA-5579019,1,0.035445935976428866,0.011181947825358961,"(np.str_('P31513'), '0')","('R-HSA-5579019', '1')"
0,1,P31751,R-HSA-114452,0,0.200629530265593,0.032310336909225086,"(np.str_('P31751'), '0')","('R-HSA-114452', '1')"
0,1,P31751,R-HSA-114452,1,0.124968476080073,0.020125519707066043,"(np.str_('P31751'), '0')","('R-HSA-114452', '1')"
0,1,P31751,R-HSA-1445148,0,0.200629530265593,0.032310336909225086,"(np.str_('P31751'), '0')","('R-HSA-1445148', '1')"
0,1,P31751,R-HSA-1445148,1,0.124968476080073,0.020125519707066043,"(np.str_('P31751'), '0')","('R-HSA-1445148', '1')"
0,1,P31751,R-HSA-165181,0,0.200629530265593,0.032310336909225086,"(np.str_('P31751'), '0')","('R-HSA-165181', '1')"
0,1,P31751,R-HSA-165181,1,0.124968476080073,0.020125519707066043,"(np.str_('P31751'), '0')","('R-HSA-165181', '1')"
0,1,P31751,R-HSA-198323,0,0.200629530265593,0.032310336909225086,"(np.str_('P31751'), '0')","('R-HSA-198323', '1')"
0,1,P31751,R-HSA-198323,1,0.124968476080073,0.020125519707066043,"(np.str_('P31751'), '0')","('R-HSA-198323', '1')"
0,1,P31751,R-HSA-198693,0,0.200629530265593,0.032310336909225086,"(np.str_('P31751'), '0')","('R-HSA-198693', '1')"
0,1,P31751,R-HSA-198693,1,0.124968476080073,0.020125519707066043,"(np.str_('P31751'), '0')","('R-HSA-198693', '1')"
0,1,P31751,R-HSA-199418,0,0.200629530265593,0.032310336909225086,"(np.str_('P31751'), '0')","('R-HSA-199418', '1')"
0,1,P31751,R-HSA-199418,1,0.124968476080073,0.020125519707066043,"(np.str_('P31751'), '0')","('R-HSA-199418', '1')"
0,1,P31751,R-HSA-211163,0,0.200629530265593,0.032310336909225086,"(np.str_('P31751'), '0')","('R-HSA-211163', '1')"
0,1,P31751,R-HSA-211163,1,0.124968476080073,0.020125519707066043,"(np.str_('P31751'), '0')","('R-HSA-211163', '1')"
0,1,P31751,R-HSA-2428924,0,0.200629530265593,0.032310336909225086,"(np.str_('P31751'), '0')","('R-HSA-2428924', '1')"
0,1,P31751,R-HSA-2428924,1,0.124968476080073,0.020125519707066043,"(np.str_('P31751'), '0')","('R-HSA-2428924', '1')"
0,1,P31751,R-HSA-3700989,0,0.200629530265593,0.032310336909225086,"(np.str_('P31751'), '0')","('R-HSA-3700989', '1')"
0,1,P31751,R-HSA-3700989,1,0.124968476080073,0.020125519707066043,"(np.str_('P31751'), '0')","('R-HSA-3700989', '1')"
0,1,P31751,R-HSA-3769402,0,0.200629530265593,0.032310336909225086,"(np.str_('P31751'), '0')","('R-HSA-3769402', '1')"
0,1,P31751,R-HSA-3769402,1,0.124968476080073,0.020125519707066043,"(np.str_('P31751'), '0')","('R-HSA-3769402', '1')"
0,1,P31751,R-HSA-389356,0,0.200629530265593,0.032310336909225086,"(np.str_('P31751'), '0')","('R-HSA-389356', '1')"
0,1,P31751,R-HSA-389356,1,0.124968476080073,0.020125519707066043,"(np.str_('P31751'), '0')","('R-HSA-389356', '1')"
0,1,P31751,R-HSA-389513,0,0.200629530265593,0.032310336909225086,"(np.str_('P31751'), '0')","('R-HSA-389513', '1')"
